#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2013 01 09 10 50 315  8.8 11.4  3.89 10.81  7.18 999 1019.0   3.3   4.5 999.0 99.0 99.00
2013 01 09 11 50 318  9.0 11.6  3.69 10.00  7.11 999 1019.8   3.5   4.6 999.0 99.0 99.00
2013 01 09 12 50 308  8.4 10.2  3.37 10.81  7.01 999 1020.4   3.7   4.6 999.0 99.0 99.00
2013 01 09 13 50 292  7.3  9.0  3.49  9.09  7.02 999 1021.0   3.9   4.5 999.0 99.0 99.00
2013 01 09 14 50 280  7.5  9.2  3.50 10.00  7.23 999 1021.2   3.9   4.5 999.0 99.0 99.00
2013 01 09 15 50 279  7.7  9.3  3.39 12.12  7.13 999 1021.3   3.3   4.4 999.0 99.0 99.00
2013 01 09 16 50 288  8.1  9.6  3.10 12.12  6.80 999 1021.3   3.4   4.5 999.0 99.0 99.00
2013 01 09 17 50 276  9.0 10.5  3.13 10.00  6.80 999 1021.6   3.6   4.4 999.0 99.0 99.00
2013 01 09 18 50 264  7.1  8.8  3.11  9.09  6.49 999 1021.6   3.7   4.4 999.0 99.0 99.00
2013 01 09 19 50 256  7.3  8.8  2.70 10.00  6.22 999 1021.9   3.7   4.4 999.0 99.0 99.00
2013 01 09 20 50 253  8.4 10.9  2.87  8.33  6.30 999 1022.1   4.0   4.4 999.0 99.0 99.00
2013 01 09 21 50 256  8.7 10.9  2.87 10.81  6.23 999 1022.0   4.1   4.4 999.0 99.0 99.00
2013 01 09 22 50 247  9.7 12.2  2.58  7.69  5.95 999 1021.8   3.9   4.4 999.0 99.0 99.00
2013 01 09 23 50 247  8.6 10.3  2.70 10.81  6.09 999 1021.6   3.9   4.4 999.0 99.0 99.00
2013 01 10 00 50 249  8.2 10.1  2.64  7.69  6.10 999 1021.8   3.8   4.4 999.0 99.0 99.00
2013 01 10 01 50 241  8.5 10.6  2.75 10.81  6.21 999 1021.4   3.6   4.5 999.0 99.0 99.00
2013 01 10 02 50 244  7.6  9.3  2.55  7.69  6.03 999 1020.8   3.5   4.5 999.0 99.0 99.00
2013 01 10 03 50 220  8.3  9.9  2.37  7.14  5.80 999 1020.0   3.6   4.5 999.0 99.0 99.00
2013 01 10 04 50 205  9.2 11.2  2.65 10.00  6.09 999 1019.7   3.7   4.5 999.0 99.0 99.00
2013 01 10 05 50 196  9.4 11.0  2.46  6.67  5.89 999 1019.2   3.7   4.5 999.0 99.0 99.00
2013 01 10 06 50 206  9.2 11.1  2.50  9.09  5.69 999 1018.6   3.4   4.4 999.0 99.0 99.00
2013 01 10 07 50 188  9.8 11.8  2.47  7.14  5.75 999 1017.5   3.3   4.4 999.0 99.0 99.00
2013 01 10 08 50 191 10.8 12.7  2.47  7.69  5.40 999 1016.6   3.2   4.4 999.0 99.0 99.00
